date,date,count_yt,count_ain,count_cons,count_msm,count_cchan,count_tweets
2019-03-26 12:00:00,2019-03-26 12:00:00,1242,1.0,0.0,6.0,3.0,183198
2018-10-12 16:00:00,2018-10-12 16:00:00,1583,3.0,3.0,3.0,1.0,178602
2019-03-30 20:00:00,2019-03-30 20:00:00,608,2.0,3.0,4.0,3.0,119442
2019-05-08 02:00:00,2019-05-08 02:00:00,624,2.0,0.0,2.0,2.0,150154
2019-02-17 20:00:00,2019-02-17 20:00:00,679,1.0,2.0,1.0,5.0,128425
2019-05-20 16:00:00,2019-05-20 16:00:00,941,0.0,0.0,4.0,3.0,164434
2019-03-03 22:00:00,2019-03-03 22:00:00,633,0.0,1.0,2.0,3.0,131478
2018-11-09 02:00:00,2018-11-09 02:00:00,1174,5.0,1.0,5.0,5.0,129381
2019-02-07 18:00:00,2019-02-07 18:00:00,672,2.0,3.0,2.0,0.0,138622
2019-04-04 06:00:00,2019-04-04 06:00:00,504,0.0,3.0,1.0,2.0,109634
2018-11-22 06:00:00,2018-11-22 06:00:00,793,3.0,1.0,5.0,2.0,99154
2019-01-16 19:00:00,2019-01-16 19:00:00,1206,0.0,5.0,1.0,6.0,132015
2019-03-16 12:00:00,2019-03-16 12:00:00,1028,1.0,2.0,3.0,1.0,213863
2019-03-15 21:00:00,2019-03-15 21:00:00,703,2.0,1.0,2.0,0.0,129072
2018-10-29 09:00:00,2018-10-29 09:00:00,1259,1.0,2.0,1.0,3.0,121046
2019-02-17 23:00:00,2019-02-17 23:00:00,626,1.0,1.0,3.0,3.0,134013
2019-02-12 21:00:00,2019-02-12 21:00:00,740,0.0,3.0,2.0,4.0,144054
2019-05-11 06:00:00,2019-05-11 06:00:00,630,1.0,0.0,1.0,4.0,113179
2018-11-06 22:00:00,2018-11-06 22:00:00,1276,5.0,3.0,1.0,3.0,149704
2019-04-14 07:00:00,2019-04-14 07:00:00,629,1.0,0.0,0.0,3.0,136419
